Frey Rainer;Die kommunalen Aufgaben;3-87831-290-3;87-91;Druckerzeugnis;38342.68194;in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse;Haupt-Bibliothek;-;Bonn;Neue Gesellschaft GmbH;-;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Holler Wolfgang/Steinhart Wilfried/Stiegler Barbara;Methoden;3-87831-290-3;25-44;Druckerzeugnis;38342.67569;in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse;Haupt-Bibliothek;-;Bonn;Neue Gesellschaft GmbH;-;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Seidman Harold;Government-sponsored Enterprise in the United States;SBN 333.15230.1;83-108;Druckerzeugnis;38342.64375;in: Smith Bruce L.R. (Hrsg): The New Political Economy: The Public Use of the Private Sector;Haupt-Bibliothek;-;New York;The Macmillan Press Ltd.;1975;0;YL1;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines
Eidg. Finanzverwaltung;Öffentliche Finanzen der Schweiz 2000;3-303-18068-7;158;Druckerzeugnis;39328.66042;0;Haupt-Bibliothek;YL7 017;Bern;Bundesamt für Statistik;2002;0;YL7;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder
Prod'hom Per;La TVA en pratique;2-8399-0037-8;425;Druckerzeugnis;38341.52083;Jurisprudence, commentaires et cas pratiques;Haupt-Bibliothek;QB 238 1;Genève;Baker & McKenzie;2005;0;QB;0;0;Verbrauchsteuern;Umsatzsteuer;0
Reid Beth;Measuring the Impact of Output-Based Payment of Hospitals on the Quality of Care;0;41;Druckerzeugnis;38335;0;Separata;X Sep. 11;Kensington;Centre for Hospital Management and Information Systems;1992;0;YX;0;0;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;0
Haussleiter Otto;Verwaltungssoziologie;0;82;Druckerzeugnis;38097;0;Separata;EA Sep. 04;Baden-Baden;Nomos;1969;0;YQ;0;0;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;0
Letsch Hans;Marktwirtschaft und Steuerreform;0;15;Druckerzeugnis;38166;0;Haupt-Bibliothek;TA Sep. 71;Zug;Kündig Druck;1990;0;TA Sep. 71;0;0;Finanz- und Steuerpolitik (Finanzreform);Bund;0
Molitor B.;Instrumentarium der Vermögenspolitik (Nebst Ergänzung);0;256-266;Druckerzeugnis;38363.45694;Neue Wissenschaftliche Bibliothek 36 in: Recktenwald H.C.: Finanzpolitik;Haupt-Bibliothek;-;Köln;Neue Wissenschaftliche Bibliothek Kiepenheuer & Witsch;1969;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Verwaltungsgericht des Kantons Graubünden;Praxis des Verwaltungsgerichts des Kantons Graubünden (GR PVG) 1996 ff. - Online;-;-;Online-Publikation;38343.61736;http://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/ueberuns/Seiten/default.aspx;Internet;HB 218;Chur;Drucksachenzentrale;online;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Marquardt Hans-Helmut;Die Ratsgeschäftsordnung;3-87831-290-3;149-153;Druckerzeugnis;38342.68958;in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse;Haupt-Bibliothek;-;Bonn;Neue Gesellschaft GmbH;-;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Stiegler Barbara;Das Rollenspiel;3-87831-290-3;358-368;Druckerzeugnis;38383.44236;in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse;Haupt-Bibliothek;-;Bonn;Neue Gesellschaft GmbH;-;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Departement des Innern des Kantons St.Gallen;St.Galler Gemeindefinanzen 2003;-;95;Druckerzeugnis;38373.52292;0;Haupt-Bibliothek;YL3 014;St.Gallen;Departement des Innern;2004;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
Departement des Innern des Kantons St.Gallen;St.Galler Gemeindefinanzen 1990;-;109;Druckerzeugnis;38373.52014;0;Haupt-Bibliothek;YL3 014;St.Gallen;Departement des Innern;1992;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
-;Aktuelle juristische Praxis (AJP) 2012 B;1660-3362;952;Druckerzeugnis;41310.52986;Publikationsorgan der Schweizerischen Richtervereinigung 21. Jahrgang;HB Steuerrecht;Z 010;Lachen;Dike Verlag AG;2012;0;Z;0;0;Zeitschriften;0;0
Meier Charles;Programmgestaltung und rationelle Auftragsabwicklung in der Konfektionsindustrie;0;109 S. + Tabellen;Druckerzeugnis;38370.46806;Diss. Nr. 197 der HSG,;Haupt-Bibliothek;WA 303;Winterthur;Hans Schellenberg;1965;0;WA;0;0;Uebrige Literatur;BWL;0
Obergericht des Kantons Schaffhausen;Entscheide des Obergerichts des Kantons Schaffhausen 2000 ff. - Online;-;216;Online-Publikation;38387.67708;http://www.obergerichtsentscheide.sh.ch/;Internet;HB 214;Schaffhausen;-;online;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
Forte F.;Über die Durchführbarkeit einer echten Mehrwertbesteuerung;0;381-389;Druckerzeugnis;38383.50069;Neue Wissenschaftliche Bibliothek 36 in: Recktenwald H.C.: Finanzpolitik;Haupt-Bibliothek;-;Köln;Neue Wissenschaftliche Bibliothek Kiepenheuer & Witsch;1969;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Albers W.;Automatische Stabilisierungswirkung;0;280-303;Druckerzeugnis;38383.47153;Neue Wissenschaftliche Bibliothek 36 in: Recktenwald H.C.: Finanzpolitik;Haupt-Bibliothek;-;Köln;Neue Wissenschaftliche Bibliothek Kiepenheuer & Witsch;1969;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Haller H.;Wandlungen in den Problemen föderativer Staatswirtschaften (Nebst Ergänzung);0;128-146;Druckerzeugnis;38383.4625;Neue Wissenschaftliche Bibliothek 36 in: Recktenwald H.C.: Finanzpolitik;Haupt-Bibliothek;-;Köln;Neue Wissenschaftliche Bibliothek Kiepenheuer & Witsch;1969;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
Holler Wolfgang;Grundlagenmaterialien: Kommunale Finanzen in den Kommunalprogrammen der Bundestagsparteien;3-87831-290-3;469-478;Druckerzeugnis;38383.45139;in: Friedrich-Ebert-Stiftung (Hrsgl): Kommunale Politik. Rahmenbedingungen, Strukturen, Entscheidungsprozesse;Haupt-Bibliothek;-;Bonn;Neue Gesellschaft GmbH;-;0;YL3;YQ;0;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";Finanzwirtschaft untergeordneter Gebietskörperschaften
Eidg. Finanzverwaltung;Kantonsfinanzen/Finances des cantons 1999;-;-;Druckerzeugnis;38415.72431;Finanzstatistik der öffentlichen Haushalte;Haupt-Bibliothek;YL3 011 1;Bern;EDMZ;2000;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
Eidg. Finanzverwaltung;Kantonsfinanzen/Finances des cantons 1995;-;-;Druckerzeugnis;38415.72361;Finanzstatistik der öffentlichen Haushalte;Haupt-Bibliothek;YL3 011 1;Bern;EDMZ;1996;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
-;Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 2005;1422-0709;-;Druckerzeugnis;38405.53333;106. Jg.;HB Steuerrecht;Z 280;Zürich;Schulthess Juristische Medien;2005;0;Z;0;0;Zeitschriften;0;0
Küng Manfred/Hauser Isabel;GmbH;3-7190-2336-2;547;Druckerzeugnis;38401.71597;Gründung und Führung der Gesellschaft mit beschränkter Haftung;Haupt-Bibliothek;WC 245;Basel / Genf / München;Helbing & Lichtenhahn;2005;0;WC;0;0;Uebrige Literatur;Privatrecht;0
Hämmerli Fredy;So sparen Sie Steuern;3-906774-21-X;147;Druckerzeugnis;38398.72986;K-Tipp Ratgeber: Die Steuerabzüge für Angestellte und Selbständige. Die wichtigsten Tipps zum Steuernsparen. - Ausgabe 2005;Haupt-Bibliothek;PC 168;Zürich;Konsumenteninfo AG;2005;0;PC;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommensteuer allgemein;0
Schweiz. Bundesgericht;Entscheidungen des Schweizerischen Bundesgerichts (BGE) 126 ff. (2000 ff.) - Online;0;0;Online-Publikation;38418.64861;http://www.bger.ch/index/juridiction/jurisdiction-inherit-template/jurisdiction-recht.htm  Die Entscheide dieser Datenbank entsprechen einem grösseren Teil der von den verschiedenen Abteilungen des Bundesgerichts seit dem Jahr 2000 ergangenen Entscheide. Bei diesen Entscheiden handelt es sich sowohl um in der amtlichen Sammlung des Bundesgerichts publizierte Entscheidungen (BGE - siehe Leitenscheide seit 1954) sowie vor allem um zahlreiche nicht publizierte Entscheide.  Zugriff auf kostenpflichtige Inhalte: 'Expertensuche für Abonnenten', dann 'Login für Universitäten (AAI)', dann Auswahl 'Universität St.Gallen', dann Login mit HSG-Password;Internet;HB 104 Online;Lausanne;0;online;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
-;Gesetzessystzematik & Sachregister;3.7190-1899-7;-;Druckerzeugnis;38446.50069;0;HB Steuerrecht;Z 140 Reg.;Basel;Helbing & Lichtenhahn;2000;0;Z;0;0;Zeitschriften;0;0
Mushkin Selma J./Cotton John F.;Sharing Federal Funds for State and Local Needs;0;203;Druckerzeugnis;38446.43542;0;Haupt-Bibliothek;UB 113;America;Praeger Publishers;1969;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Wicki Dieter;Der Finanzausgleich zwischen Staat und Gemeinden im Kanton Bern;0;139;Druckerzeugnis;38446.40833;Diss. der Universität Bern;Haupt-Bibliothek;UC 103;Winterthur;Verlag P.G. Keller;1958;0;YL4;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzausgleich
Pop Tudor/Weber Peter Johannes;Schweizerische Rechtsbibliographie (SRB) 2002 ff. - Online;-;-;Online-Publikation;38426.39861;"Vormals: Bibliographie des schweizerischen Rechts http://www.srb.recht.ch";Internet;JB 143 4;Bern;Stämpfli Verlag AG;online;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Buth Andrea K./Hermanns Michael;Restrukturierung-Sanierung-Insolvenz;3-406-51219-4;603;Druckerzeugnis;38425.64931;Das interdisziplinäre Kompendium der Krisen- und Sanierungsberatung- 2. A.;HB Steuerrecht;WA 252;München;Verlag C.H. Beck;2004;0;WA;0;0;Uebrige Literatur;BWL;0
Vereinigung der Privaten Aktiengesellschaften;Jahrbuch 2004/2005;0;146;Druckerzeugnis;38482.50139;Mit Administrativbericht über das 52. und 53. Geschäftsjahr  vom 1. Januar 2003 bis zum 31. Dezember 2003 resp. vom 1. Januar 2004 bis zum 31. Dezember 2004;Haupt-Bibliothek;JB 140 10;Basel;Reinhardt Druck;2005;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
-;Schweizerisches Zentralblatt für Staats- und Verwaltungsrecht (ZBl) 2013;1422-0709;688;Druckerzeugnis;41310.54097;114. Jg.;HB Steuerrecht;Z 280;Zürich;Schulthess Juristische Medien;2013;0;Z;0;0;Zeitschriften;0;0
Tschäni Rudolf;Mergers & Acquisitions XIV;978-3-7255-6517-7;220;Druckerzeugnis;41038.54306;Europa Institut Zürich, Bd. 125 - hrsg. von Rudolf Tschäni;Haupt-Bibliothek;PE 0566 14;Zürich / Basel / Genf;Schulthess Juristische Medien AG;2012;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
Eckmann Urbanski Carmen;Performance und Bewertung von Immobilienportfolios;-;221;Druckerzeugnis;38478.68611;Dissertation Nr. 2977 der Uni St.Gallen;Haupt-Bibliothek;YP 003;St.Gallen;D-Druck-Spescha, St.Gallen;2005;0;YP;0;0;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;0
Schmid Martin;Vermögensübertragungen im schweizerischen Konzern und ihre gewinnsteuerrechtlichen Folgen;-;241;Druckerzeugnis;38478.67917;Dissertation Nr. 3036 der Uni St.Gallen;Haupt-Bibliothek;PL 230;St.Gallen;Difo-Druck GmbH, Bamberg;2005;0;PL;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Gewinnsteuer der Kapitalgesellschaften;0
-;Rivista ticinese di diritto 2012 - Vol. I;978-3-7190-3307-1;1070;Druckerzeugnis;41199.81111;0;HB Steuerrecht;Z 260;Basel;Helbing Lichtenhahn;2012;0;Z;0;0;Zeitschriften;0;0
-;Der Steuerentscheid (StE) 2012;0254-8992;-;Druckerzeugnis;40967.64792;Sammlung aktueller steuerrechtlicher Entscheidungen;HB Steuerrecht;HB 227;Basel;Helbing Lichtenhahn Verlag;2012;0;HB;0;0;Schweizerische Steuer-Gesetzgebung und -Judikatur;Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone);0
PricewaterhouseCoopers;Individual Taxes 1999-2000. Worldwide Summaries;0-471-35554-2;520;Druckerzeugnis;38489.50556;0;Haupt-Bibliothek;PA 120 2;New York;John Wiley & Sons, Inc.;1999;0;PA;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Allgemeines;0
-;Revue de droit administratif et de droit fiscal (RDAF) 2012;-;806;Druckerzeugnis;41017.64861;Revue genevoise de droit public;HB Steuerrecht;Z 250;Lausanne;Presses Centrales Lausanne SA;2012;0;Z;0;0;Zeitschriften;0;0
Österreichischer Juristentag;Die Auswirkungen des gemeinschaftsrechtlichen Beihilfenrechts auf das Steuerrecht - Referate und Diskussionsbeiträge;978-3-214-10973-8;150;Druckerzeugnis;40816.69097;Verhandlungen des Siebzehnten Österreichischen Juristentages, Wien 2009 - Bd. IV/2 (Steuerrecht);Haupt-Bibliothek;KA 192;Wien;Manzsche Verlags- und Universitätsbuchhandlung;2010;0;KA;0;0;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;0
OECD;Model Tax Convention on Income and on Capital 2010 - Condensed Version;978-92-64-08948-8;466;Druckerzeugnis;40841.68125;July 2010;HB Steuerrecht;LC 0209 1.6.1;Paris;OECD;2010;0;LC;0;0;Interkantonales/Internationales Steuerrecht;Internationales Steuerrecht;0
Treuhand-Kammer;Schweizer Handbuch der Wirtschaftsprüfung 2009 (Server);978-3-908159-65-0;0;CD-ROM/DVD;40886.57153;Einzelplatzversion  Die CD-ROM liegt für alle zugänglich auf dem Nyad (IFF CD-ROM auf \\nyad\iff [H]) Server und kann von jedem Mitarbeiter selbst sofort (ohne Installation) gestartet werden.   Zunächst muss eine Verbindung zum Netzlaufwerk 'H' hergsetllt werden. Auf dem Q unter IFF/Verschiedenes/Bibliothek/Administratives befindet sich die Anleitung zur Installation des H-Laufwerks. Alternativ kann durch Eingabe von '\\130.82.89.113\iff' im Laufwerkbrowser der H-Server temporär aufgerufen werden.  Sobald das H-Laufwerk installiert wurde, kann das HWP wie folgt abgerufen werden.  Startanleitung:  1. Datei-Ordner 'Schweizer Handbuch der Wirtschaftspruefung' auf dem H-Server (\\nyad\iff) anklicken.  2. Datei-Ordner 'Handbuch der Wirtschaftsprüfung 2009' öffnen.  3. Auf die PDF-Datei 'Start_HWP_D.pdf' drücken.  5. eventuell eine Verknüpfung/ Kopie der PDF-Datei 'Start_HWP_D.pdf' auf dem Desktop oder der Taskleiste erstellen.;Server;WA 298 2.6;Zürich;Treuhand-Kammer;2009;0;WA;0;0;Uebrige Literatur;BWL;0
Geiser Thomas/Münch Peter;Prozessieren vor Bundesgericht;3-7190-1674-9;453;Druckerzeugnis;38492.71597;Handbücher für die Anwaltspraxis: I- 2. A.;Haupt-Bibliothek;WB 245 2;Basel / Frankfurt a. M.;Helbing & Lichtenhahn;1998;0;WB;0;0;Uebrige Literatur;Oeffentliches Recht;0
-;Steuer und Wirtschaft (StuW) 2010;0341-2954;396;Druckerzeugnis;40232.71389;Zeitschrift für die gesamten Steuerwissenschaften;HB Steuerrecht;Z 300;Köln;Dr. Otto Schmidt;2010;0;Z;0;0;Zeitschriften;0;0
Bundesamt für Statistik;Statistisches Jahrbuch der Schweiz 2010;978-3-03823-605-4;568;Druckerzeugnis;40240.46806;0;Haupt-Bibliothek;YG 012;Zürich;Verlag Neue Zürcher Zeitung;2010;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
-;Rivista ticinese di diritto 2009 - Vol. I;978-3-7190-2908-1;784;Druckerzeugnis;40051.4375;0;HB Steuerrecht;Z 260;Basel / Genf / München;Helbing & Lichtenhahn;2009;0;Z;0;0;Zeitschriften;0;0
Weber Rolf H./Thürer Daniel/Zäch Roger;Das Recht der Mehrwertsteuer;3 7255 3254 0;450;Druckerzeugnis;40077.61597;Rechtsvergleichende Textausgabe - mit Verweisen auf das europäische, deutsche und französische Recht sowie einschlägige Entscheide des EuGH - Hrsg. vom Europa Institut Zürich;Haupt-Bibliothek;QB 405 2;Zürich;Schulthess Polygraphischer Verlag;1994;0;QB;0;0;Verbrauchsteuern;Umsatzsteuer;0
Swiss-American Chamber of Commerce;Swiss-U.S. Income Tax Treaty 2010;978-3-7255-6194-0;537;Druckerzeugnis;40525.65486;"Update 2010";HB Steuerrecht;LE 135 4;Zürich;Swiss-American Chamber of Commerce;2010;0;LE;0;0;Interkantonales/Internationales Steuerrecht;USA;0
Bundesamt für Statistik;Statistisches Jahrbuch der Schweiz 2009;978-3-03823-510-1;552;Druckerzeugnis;39882.69097;0;Haupt-Bibliothek;YG 012;Zürich;Verlag Neue Zürcher Zeitung;2009;0;YJ;0;0;Wirtschaftswissenschaften;Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material;0
Beusch Michael;Entwicklungen im Steuerrecht 2009;978-3-7255-5815-5;528;Druckerzeugnis;39906.50833;Urteile - Aktuelle Themen - Hintergründe;HB Steuerrecht;JB 156.4;Zürich / Basel / Genf;Schulthess Juristische Medien AG;2009;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
Bundesrat der Schweiz. Eidgenossenschaft;Voranschlag der Verwaltungseinheiten + Begründungen 2008;-;347;Druckerzeugnis;39349.69722;Bd. 2B;Haupt-Bibliothek;YL3 050 2.2;Bern;Schweiz. Eidgenossenschaft;2007;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
IFF;IFF Forum für Steuerrecht (FStR) 2011;1424-9855;-;Druckerzeugnis;40637.64375;0;Haupt-Bibliothek;Z 150 1;St.Gallen;Institut für Finanzwissenschaft und Finanzrecht an der Universität St.Gallen;2011;0;Z;0;0;Zeitschriften;0;0
-;Internationales Steuerrecht (iStR) 2009;0942-6744;1004;Druckerzeugnis;39825.52986;Monatsschrift für europäische und internationale Steuer- und Wirtschaftsberatung;HB Steuerrecht;Z 180;München/Frankfurt;C.H. Beck;2009;0;Z;0;0;Zeitschriften;0;0
-;Internationales Steuerrecht (iStR) 2000 ff. - Online -;0942-6744;-;Online-Publikation;39841.6125;Monatsschrift für europäische und internationale Steuer- und Wirtschaftsberatung  http://beck-online.beck.de/?vpath=bibdata/zeits/ISTR/2009/cont/IStR.2009.H02.htm;HB Steuerrecht;Z 180;München/Frankfurt;C.H. Beck;2009;0;Z;0;0;Zeitschriften;0;0
Atkinson A. B.;Modern Public Finance - Vol. II;1.85278.153.X;437;Druckerzeugnis;38497.64861;0;Haupt-Bibliothek;AA 323 2;Aldershot;Edward Elgar Publication;1991;0;YB;0;0;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;0
IFF;IFF Forum für Steuerrecht (FStR) 2009;1424-9855;-;Druckerzeugnis;39862.65903;0;Haupt-Bibliothek;Z 150 1;St.Gallen;Institut für Finanzwissenschaft und Finanzrecht an der Universität St.Gallen;2009;0;Z;0;0;Zeitschriften;0;0
Schweiz. Eidgenossenschaft;Bericht zum Finanzplan des Bundes 2010-2012;-;109;Druckerzeugnis;39875.68472;Bericht des Bundesrates vom 20. August 2008;Haupt-Bibliothek;YL3 050 1;Bern;Schweiz. Eidgenossenschaft;2008;0;YL3;0;0;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Finanzwirtschaft untergeordneter Gebietskörperschaften
Höhn Ernst/Mäusli Peter;Interkantonales Steuerrecht;3-258-06007-X;609;Druckerzeugnis;38496.43125;4. A.;Haupt-Bibliothek;LB 102 4.3;Bern / Stuttgart / Wien;Verlag Paul Haupt;2000;0;LB;0;0;Interkantonales/Internationales Steuerrecht;Interkantonales Steuerrecht;0
Corti Guido/Mini Mauro/Noseda John/Postizzi Mario;Diritto senza Devianza - Studi in onore di Marco Borghi;3-7190-2636-1;860;Druckerzeugnis;39708.71319;Edizione speciale della Rivista ticinese di diritto;Haupt-Bibliothek;JB 159;Basel / Genf / München;Helbing & Lichtenhahn;2006;0;JB;0;0;Allgemeine Steuerrechtsliteratur;Festschriften, Sammelwerke, Bibliographien;0
SwissHoldings;Konzernstandort Schweiz im globalen Wettbewerb;-;72;Druckerzeugnis;39715.48194;Steuerliche Herausforderungen für unser Land;Haupt-Bibliothek;PE 0670 2;Bern;SwissHoldings;2008;0;PE;0;0;Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern;Einkommen Selbständigerwerbender, Unternehmungsbesteuerung;0
